soma	description	protein	new.annotation	gene
SL004347	Interleukin-22	Q9GZX6	IL22	IL22
SL000496	Lactotransferrin	P02788	LTF	LTF
SL004356	C-C motif chemokine 4-like	Q8NHW4	CCL4L1	CCL4L1
SL004355	C-C motif chemokine 3-like 1	P16619	CCL3L1	CCL3L1
SL000515	C-C motif chemokine 8	P80075	CCL8	CCL8
SL000524	Stromelysin-1	P08254	MMP3	MMP3
SL000525	Matrilysin	P09237	MMP7	MMP7
SL003191	Neutrophil-activating peptide 2	P02775	PPBP-pep2	PPBP
SL000581	Superoxide dismutase [Cu-Zn]	P00441	SOD1	SOD1
SL002077	"Alkaline phosphatase, tissue-nonspecific isozyme"	P05186	ALPL	ALPL
SL000424	Fibrinogen	P02671 P02675 P02679	FGA	FGA FGB FGG
SL000020	Apolipoprotein B	P04114	APOB	APOB
SL004415	Angiotensin-converting enzyme 2	Q9BYF1	ACE2	ACE2
SL004128	Activin receptor type-1B	P36896	ACVR1B	ACVR1B
SL004625	A disintegrin and metalloproteinase with thrombospondin motifs 4	O75173	ADAMTS4	ADAMTS4
SL001995	Angiopoietin-1	Q15389	ANGPT1	ANGPT1
SL006924	Agouti-related protein	O00253	AGRP	AGRP
SL001902	Basal Cell Adhesion Molecule	P50895	BCAM	BCAM
SL002081	Cadherin-5	P33151	CDH5	CDH5
SL004726	CD97 antigen	P48960	CD97	CD97
SL004704	COMM domain-containing protein 7	Q86VX2	COMMD7	COMMD7
SL004644	"Ectodysplasin-A, secreted form"	Q92838	EDA	EDA
SL000427	Fractalkine	P78423	CX3CL1	CX3CL1
SL004645	Kunitz-type protease inhibitor 1	O43278	SPINT1	SPINT1
SL006915	Interleukin-27	Q8NEV9 Q14213	IL27	IL27 EBI3
SL002763	Kallikrein-11	Q9UBX7	KLK11	KLK11
SL003800	Kallikrein-4	Q9Y5K2	KLK4	KLK4
SL003915	Kallikrein-8	O60259	KLK8	KLK8
SL004301	X-ray repair cross-complementing protein 6	P12956	XRCC6	XRCC6
SL000695	Neutrophil gelatinase-associated lipocalin	P80188	LCN2	LCN2
SL000134	Hepatocyte growth factor receptor	P08581	MET	MET
SL003332	Matrix metalloproteinase-17	Q9ULZ9	MMP17	MMP17
SL004649	Tumor necrosis factor ligand superfamily member 4	P23510	TNFSF4	TNFSF4
SL004650	Secreted frizzled-related protein 3	Q92765	FRZB	FRZB
SL003177	Intercellular adhesion molecule 2	P13598	ICAM2	ICAM2
SL001897	Kunitz-type protease inhibitor 2	O43291	SPINT2	SPINT2
SL003199	"Tyrosine-protein kinase receptor Tie-1, soluble"	P35590	TIE1	TIE1
SL000605	"Ubiquitin+1, truncated mutation for UbB"	P62979	RPS27A-UbB	RPS27A
SL004652	Wnt inhibitory factor 1	Q9Y5W5	WIF1	WIF1
SL004768	Allograft inflammatory factor 1	P55008	AIF1	AIF1
SL008008	Arginase-1	P05089	ARG1	ARG1
SL000320	C5a anaphylatoxin	P01031	C5A	C5
SL006911	Serine/threonine-protein kinase Chk1	O14757	CHEK1	CHEK1
SL000409	Mitogen-activated protein kinase 3	P27361	MAPK3	MAPK3
SL006914	Glucocorticoid receptor	P04150	NR3C1	NR3C1
SL004725	Histone acetyltransferase type B catalytic subunit	O14929	HAT1	HAT1
SL004723	Histone deacetylase 8	Q9BY41	HDAC8	HDAC8
SL004718	Importin subunit alpha-1	P52292	KPNA2	KPNA2
SL003793	Dual specificity mitogen-activated protein kinase kinase 1	Q02750	MAP2K1	MAP2K1
SL004724	Histone acetyltransferase KAT6A	Q92794	KAT6A	KAT6A
SL000554	Protein kinase C delta type	Q05655	PRKCD	PRKCD
SL004009	Ras-related C3 botulinum toxin substrate 1	P63000	RAC1	RAC1
SL006922	DNA repair protein RAD51 homolog 1	Q06609	RAD51	RAD51
SL006923	TATA-box-binding protein	P20226	TBP	TBP
SL004305	DNA topoisomerase 1	P11387	TOP1	TOP1
SL004306	SUMO-conjugating enzyme UBC9	P63279	UBE2I	UBE2I
SL006372	Tyrosine-protein kinase Yes	P07947	YES1	YES1
SL000248	Alpha-1-antichymotrypsin	P01011	SERPINA3	SERPINA3
SL000323	Complement component C7	P10643	C7	C7
SL002783	Cardiotrophin-1	Q16619	CTF1	CTF1
SL003303	C-C motif chemokine 28	Q9NRJ3	CCL28	CCL28
SL004330	B-cell receptor CD22	P20273	CD22	CD22
SL003329	C-C motif chemokine 14	Q16627	CCL14	CCL14
SL000480	Interleukin-4	P05112	IL4	IL4
SL002621	Midkine	P21741	MDK	MDK
SL003302	C-C motif chemokine 23	P55773	CCL23	CCL23
SL000131	Proliferating cell nuclear antigen	P12004	PCNA	PCNA
SL002541	Tumor necrosis factor ligand superfamily member 11	O14788	TNFSF11	TNFSF11
SL000006	Plasminogen activator inhibitor 1	P05121	SERPINE1	SERPINE1
SL004668	Apolipoprotein E (isoform E3)	P02649	APOE-isoE3	APOE
SL004669	Apolipoprotein E (isoform E4)	P02649	APOE-isoE4	APOE
SL004670	Artemin	Q5T4W7	ARTN	ARTN
SL000396	Cytochrome c	P99999	CYCS	CYCS
SL000398	Cytochrome P450 3A4	P08684	CYP3A4	CYP3A4
SL005156	Neuroblastoma suppressor of tumorigenicity 1	P41271	NBL1	NBL1
SL000007	Estrogen receptor	P03372	ESR1	ESR1
SL003327	Complement factor D	P00746	CFD	CFD
SL005168	Growth hormone receptor	P10912	GHR	GHR
SL004067	Group 10 secretory phospholipase A2	O15496	PLA2G10	PLA2G10
SL005171	Insulin-like growth factor-binding protein 4	P22692	IGFBP4	IGFBP4
SL000047	Insulin-like growth factor I	P05019	IGF1	IGF1
SL000506	Luteinizing hormone	"P01215, P01229"	CGA-LHB	CGA LHB
SL000526	Neutrophil collagenase	P22894	MMP8	MMP8
SL003542	Histone-lysine N-methyltransferase EHMT2	Q96KQ7	EHMT2	EHMT2
SL003192	Properdin	P27918	CFP	CFP
SL000048	Vitamin K-dependent protein C	P04070	K-dep-PROC	PROC
SL002561	Parathyroid hormone-related protein	P12272	PTHLH	PTHLH
SL004362	Stem Cell Growth Factor-beta	Q9Y240	CLEC11B	CLEC11A
SL001720	Vascular cell adhesion protein 1	P19320	VCAM1	VCAM1
SL004686	Tumor necrosis factor ligand superfamily member 15	O95150	TNFSF15	TNFSF15
SL004851	Serine/threonine-protein kinase receptor R3	P37023	ACVRL1	ACVRL1
SL000136	Amphiregulin	P15514	AREG	AREG
SL004078	Bone morphogenetic protein 7	P18075	BMP7	BMP7
SL000668	Platelet glycoprotein 4	P16671	CD36	CD36
SL004855	Contactin-1	Q12860	CNTN1	CNTN1
SL002655	Connective tissue growth factor	P29279	CTGF	CTGF
SL004856	Desmoglein-1	Q02413	DSG1	DSG1
SL004872	Tumor necrosis factor receptor superfamily member EDAR	Q9UNE0	EDAR	EDAR
SL003169	C-X-C motif chemokine 5	P42830	CXCL5	CXCL5
SL005160	Endothelial cell-selective adhesion molecule	Q96AP7	ESAM	ESAM
SL005165	Galectin-4	P56470	LGALS4	LGALS4
SL003173	Growth-regulated alpha protein	P09341	CXCL1	CXCL1
SL017610	Gro-beta/gamma	P19876 P19875	CXCL3	CXCL3 CXCL2
SL005256	Histone H1.2	P16403	HIST1H1C	HIST1H1C
SL005170	Inducible T-cell costimulator	Q9Y6W8	ICOS	ICOS
SL001802	Interferon gamma	P01579	IFNG	IFNG
SL001997	Interleukin-1 receptor type 1	P14778	IL1R1	IL1R1
SL004850	Interleukin-17 receptor A	Q96F46	IL17RA	IL17RA
SL004861	Interleukin-18 receptor accessory protein	O95256	IL18RAP	IL18RAP
SL004875	Interleukin-1 receptor-like 2	Q9HB29	IL1RL2	IL1RL2
SL005193	Junctional adhesion molecule B	P57087	JAM2	JAM2
SL005194	Junctional adhesion molecule C	Q9BX67	JAM3	JAM3
SL005196	Limbic system-associated membrane protein	Q13449	LSAMP	LSAMP
SL004516	Mannose-binding protein C	P11226	MBL2	MBL2
SL005205	Natural cytotoxicity triggering receptor 3	O14931	NCR3	NCR3
SL004862	Programmed cell death 1 ligand 2	Q9BQ51	PDCD1LG2	PDCD1LG2
SL004939	Tyrosine-protein phosphatase non-receptor type 1	P18031	PTPN1	PTPN1
SL005219	Sialic acid-binding Ig-like lectin 9	Q9Y336	SIGLEC9	SIGLEC9
SL005059	Transforming growth factor beta receptor type 3	Q03167	TGFBR3	TGFBR3
SL004687	Thymic stromal lymphopoietin	Q969D9	TSLP	TSLP
SL000384	Cytotoxic T-lymphocyte protein 4	P16410	CTLA4	CTLA4
SL000250	Alpha-2-antiplasmin	P08697	SERPINF2	SERPINF2
SL000004	Fibroblast growth factor 2	P09038	FGF2	FGF2
SL000338	Calpastatin	P20810	CAST	CAST
SL003301	Ck-beta-8-1	P55773	Ck-beta-8-1	CCL23
SL005157	CD209 antigen	Q9NNX6	CD209	CD209
SL005158	C-type lectin domain family 4 member M	Q9H2X3	CLEC4M	CLEC4M
SL000420	Ferritin	P02794 P02792	FTH1	FTH1 FTL
SL000428	Follicle stimulating hormone	"P01215,  P01225"	CGA-FSHB	CGA FSHB
SL005164	Galectin-2	P05162	LGALS2	LGALS2
SL004271	Glial fibrillary acidic protein	P14136	GFAP	GFAP
SL004354	Interleukin-19	Q9UHD0	IL19	IL19
SL001795	Interleukin-1 beta	P01584	IL1B	IL1B
SL003326	C-X-C motif chemokine 11	O14625	CXCL11	CXCL11
SL000519	C-C motif chemokine 3	P10147	CCL3	CCL3
SL008416	C-type mannose receptor 2	Q9UBG0	MRC2	MRC2
SL000164	Myoglobin	P02144	MB	MB
SL000532	SPARC	P09486	SPARC	SPARC
SL003323	C-C motif chemokine 18	P55774	CCL18	CCL18
SL002704	Pleiotrophin	P21246	PTN	PTN
SL004260	Resistin	Q9HD89	RETN	RETN
SL000603	Trypsin-1	P07477	PRSS1	PRSS1
SL000017	von Willebrand factor	P04275	VWF	VWF
SL000633	"Tumor necrosis factor ligand superfamily member 6, soluble form"	P48023	FASLG	FASLG
SL004343	Fms-related tyrosine kinase 3 ligand	P49771	FLT3LG	FLT3LG
SL000437	Haptoglobin	P00738	HP	HP
SL003308	Interleukin-4 receptor subunit alpha	P24394	IL4R	IL4R
SL005204	NKG2-D type II integral membrane protein	P26718	KLRK1	KLRK1
SL004689	WNT1-inducible-signaling pathway protein 1	O95388	WISP1	WISP1
SL004327	Tumor necrosis factor ligand superfamily member 13B	Q9Y275	TNFSF13B	TNFSF13B
SL000325	Complement component C9	P02748	C9	C9
SL000343	Cathepsin B	P07858	CTSB	CTSB
SL004339	Fibroblast growth factor 5	P12034	FGF5	FGF5
SL003744	Galectin-3	P17931	LGALS3	LGALS3
SL005234	Growth/differentiation factor 9	O60383	GDF9	GDF9
SL000468	Immunoglobulin M	P01871	Immunog-M	IGHM IGJ IGK@ IGL@
SL000478	Interleukin-2	P60568	IL2	IL2
SL001718	Interleukin-13	P35225	IL13	IL13
SL002508	Interleukin-18-binding protein	O95998	IL18BP	IL18BP
SL003309	Lipopolysaccharide-binding protein	P18428	LBP	LBP
SL003324	Coagulation factor Xa	P00742	F10A	F10
SL002640	Placenta growth factor	P49763	PGF	PGF
SL005152	Retinoic acid receptor responder protein 2	Q99969	RARRES2	RARRES2
SL005227	NKG2D ligand 1	Q9BZM6	ULBP1	ULBP1
SL005228	NKG2D ligand 2	Q9BZM5	ULBP2	ULBP2
SL005233	Tumor necrosis factor receptor superfamily member 27	Q9HAV5	EDA2R	EDA2R
SL004771	Aurora kinase A	O14965	AURKA	AURKA
SL004750	ATP-dependent RNA helicase DDX19B	Q9UMR2	DDX19B	DDX19B
SL006918	Mitogen-activated protein kinase 1	P28482	MAPK1	MAPK1
SL003733	"Diablo homolog, mitochondrial"	Q9NR28	DIABLO	DIABLO
SL004159	Tumor necrosis factor receptor superfamily member 10D	Q9UBN6	TNFRSF10D	TNFRSF10D
SL004486	Vascular endothelial growth factor C	P49767	VEGFC	VEGFC
SL002524	T-cell surface glycoprotein CD4	P01730	CD4	CD4
SL003305	Interleukin-2 receptor subunit alpha	P01589	IL2RA	IL2RA
SL001800	Tumor necrosis factor receptor superfamily member 1B	P20333	TNFRSF1B	TNFRSF1B
SL005215	Myeloid cell surface antigen CD33	P20138	CD33	CD33
SL004626	A disintegrin and metalloproteinase with thrombospondin motifs 5	Q9UNA0	ADAMTS5	ADAMTS5
SL010368	alpha-L-iduronidase	P35475	IDUA	IDUA
SL007261	Methionine aminopeptidase 2	P50579	METAP2	METAP2
SL004469	Amyloid beta A4 protein	P05067	APP	APP
SL008956	Arylsulfatase B	P15848	ARSB	ARSB
SL008611	N-acylethanolamine-hydrolyzing acid amidase	Q02083	NAAA	NAAA
SL008421	A disintegrin and metalloproteinase with thrombospondin motifs 1	Q9UHI8	ADAMTS1	ADAMTS1
SL006610	A disintegrin and metalloproteinase with thrombospondin motifs 13	Q76LX8	ADAMTS13	ADAMTS13
SL010369	Carbonic anhydrase 4	P22748	CA4	CA4
SL007280	Dipeptidyl peptidase 1	P53634	CTSC	CTSC
SL009213	Lysosomal protective protein	P10619	CTSA	CTSA
SL000344	Cathepsin D	P07339	CTSD	CTSD
SL004673	Cathepsin S	P25774	CTSS	CTSS
SL010371	Ectonucleoside triphosphate diphosphohydrolase 1	P49961	ENTPD1	ENTPD1
SL000358	Coagulation Factor VII	P08709	F7	F7
SL002525	Complement C2	P06681	C2	C2
SL007284	Cysteine-rich secretory protein 3	P54108	CRISP3	CRISP3
SL010372	Enteropeptidase	P98073	PRSS7	PRSS7
SL000658	Growth arrest-specific protein 1	P54826	GAS1	GAS1
SL012783	"WAP, kazal, immunoglobulin, kunitz and NTR domain-containing protein 1"	Q96NZ8	WFIKKN1	WFIKKN1
SL002695	Cytosolic non-specific dipeptidase	Q96KP4	CNDP2	CNDP2
SL008759	Platelet glycoprotein VI	Q9HCN6	GP6	GP6
SL000678	Granulysin	P22749	GNLY	GNLY
SL008023	Hyaluronan and proteoglycan link protein 1	P10915	HAPLN1	HAPLN1
SL007122	Insulin-degrading enzyme	P14735	IDE	IDE
SL008639	Iduronate 2-sulfatase	P22304	IDS	IDS
SL003916	Kallikrein-12	Q9UKR0	KLK12	KLK12
SL003918	Kallikrein-13	Q9UKR3	KLK13	KLK13
SL003863	Kallikrein-5	Q9Y337	KLK5	KLK5
SL010393	Kremen protein 2	Q8NCW0	KREMEN2	KREMEN2
SL007100	Leukotriene A-4 hydrolase	P09960	LTA4H	LTA4H
SL008904	Lymphatic vessel endothelial hyaluronic acid receptor 1	Q9Y5Y7	LYVE1	LYVE1
SL006992	Matrilin-3	O15232	MATN3	MATN3
SL005437	Matrix extracellular phosphoglycoprotein	Q9NQ76	MEPE	MEPE
SL010374	Methionine aminopeptidase 1	P53582	METAP1	METAP1
SL010375	Neutral ceramidase	Q9NR71	ASAH2	ASAH2
SL000640	Nidogen-1	P14543	NID1	NID1
SL006397	Neuropilin-1	O14786	NRP1	NRP1
SL005797	Polymeric immunoglobulin receptor	P01833	PIGR	PIGR
SL004457	Glia-derived nexin	P07093	SERPINE2	SERPINE2
SL000158	Glutamate carboxypeptidase 2	Q04609	FOLH1	FOLH1
SL010378	Proto-oncogene tyrosine-protein kinase receptor Ret	P07949	RET	RET
SL003770	Secreted frizzled-related protein 1	Q8N474	SFRP1	SFRP1
SL010379	Semaphorin-3A	Q14563	SEMA3A	SEMA3A
SL004118	Tartrate-resistant acid phosphatase type 5	P13686	ACP5	ACP5
SL010390	Coiled-coil domain-containing protein 80	Q76M96	CCDC80	CCDC80
SL010391	"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2"	Q8TEU8	WFIKKN2	WFIKKN2
SL004661	Aggrecan core protein	P16112	ACAN	ACAN
SL006803	Angiopoietin-related protein 3	Q9Y5C1	ANGPTL3	ANGPTL3
SL006544	Transforming growth factor-beta-induced protein ig-h3	Q15582	TGFBI	TGFBI
SL007804	Biglycan	P21810	BGN	BGN
SL000310	Complement C1r subcomponent	P00736	C1R	C1R
SL010449	Carbonic anhydrase-related protein 10	Q9NS85	CA10	CA10
SL008773	CD109 antigen	Q6YHK3	CD109	CD109
SL002706	Low affinity immunoglobulin epsilon Fc receptor	P06734	FCER2	FCER2
SL010450	CD48 antigen	P09326	CD48	CD48
SL006108	CD5 antigen-like	O43866	CD5L	CD5L
SL010451	Cryptic protein	P0CG37	CFC1	CFC1
SL008623	Contactin-2	Q02246	CNTN2	CNTN2
SL010454	Contactin-4	Q8IWV2	CNTN4	CNTN4
SL010455	Contactin-5	O94779	CNTN5	CNTN5
SL007049	Cystatin-F	O76096	CST7	CST7
SL004438	Cystatin-M	Q15828	CST6	CST6
SL010457	Delta-like protein 4	Q9NR61	DLL4	DLL4
SL017613	Low affinity immunoglobulin gamma Fc region receptor II-a/b	P12318 P31994	FCGR2A	FCGR2A FCGR2B
SL008609	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	FCGR3B	FCGR3B
SL010461	High affinity immunoglobulin gamma Fc receptor I	P12314	FCGR1A	FCGR1A
SL006542	Ficolin-2	Q15485	FCN2	FCN2
SL004858	GDNF family receptor alpha-1	P56159	GFRA1	GFRA1
SL010463	Glypican-2	Q8N158	GPC2	GPC2
SL004466	Heparin cofactor 2	P05546	SERPIND1	SERPIND1
SL004860	"Serine protease HTRA2, mitochondrial"	O43464	HTRA2	HTRA2
SL005087	Insulin-like growth factor-binding protein 7	Q16270	IGFBP7	IGFBP7
